key,english_default,example_usage_files,contextual_meaning
week,Week,lib/repository/matches_repository.dart;lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `matches_repository.dart` to construct the round string (e.g., 'Week 17') for displaying match fixtures. Used in `homeandawayTeamScore.dart` to display the week in which a match event occurred."
groupStage,Group Stage,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for group stage matches."
leg,Leg,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for legs of a match (e.g., '1st Leg')."
qualifying,Qualifying,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for qualifying matches."
playOff,Play-off,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for play-off matches."
cleanSheet,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display clean sheet statistics."
head2head,Head to Head,lib/widgets/match_detail/head_to_head.dart,"Used as the title for the head-to-head statistics section in the `head_to_head.dart` widget."
notification_title,Never miss the action,lib/localization/demo_localization.dart,"Not directly used in code, likely intended as the title for push notifications."
notification_body,"Live scores, breaking news, match highlights, and new podcasts — right when it happens.",lib/localization/demo_localization.dart,"Not directly used in code, likely intended as the body for push notifications."
notification_enable,Turn on notifications,lib/localization/demo_localization.dart,"Not directly used in code, likely intended as a label for enabling notifications."
notification_not_now,Not now,lib/localization/demo_localization.dart,"Not directly used in code, likely intended as a label for declining notifications."
no_h2h_found,No Head-to-Head matches found,lib/localization/demo_localization.dart,"Used as a message in `demo_localization.dart` to indicate that no head-to-head matches were found."
penalty_cancelled,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a cancelled penalty during a match."
off_the_ball_foul,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an off-the-ball foul during a match."
spitting,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a spitting incident during a match."
biting,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a biting incident during a match."
elbowing,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an elbowing incident during a match."
pleaseWait,Please wait...,lib/localization/demo_localization.dart,"Used in `demo_localization.dart` as a loading message."
abusive_language,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an abusive language incident during a match."
retaliation,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a retaliation incident during a match."
offside,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate an offside during a match."
dangerous_play,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe dangerous play during a match."
obstruction,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an obstruction during a match."
var_review,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a VAR review during a match."
unsportsmanlike_conduct,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe unsportsmanlike conduct during a match."
penalty_awarded,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a penalty awarded during a match."
goal_disallowed,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a goal disallowed during a match."
professional_foul_last_man,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a professional foul by the last man during a match."
holding,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a holding incident during a match."
failedToScore,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display a message when a team fails to score."
goalkeeperSaves,,lib/widgets/match_detail/details/shots.dart,"Used in `shots.dart` to display the number of saves made by a goalkeeper."
longestStreak,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the longest winning streak."
winStreak,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the current winning streak."
drawStreak,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the current drawing streak."
loseStreak,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the current losing streak."
biggestWin,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the biggest win."
biggestLoss,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the biggest loss."
mostGoalsScoredMatch,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the match with the most goals scored."
mostGoalsConcededMatch,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the match with the most goals conceded."
penaltiesTaken,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the number of penalties taken."
mostUsedFormation,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the most used formation."
timesPlayed,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display the number of times a team has played."
goalsByMinute,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display goals scored by minute."
goalsConceded,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display goals conceded."
avgGoalsConceded,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display average goals conceded."
homepage,,lib/localization/demo_localization.dart,"Used as the key for the 'homepage' translation in `demo_localization.dart`. It represents the text for the home page or main screen label."
seasonPerformance,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display season performance."
change_photo,,lib/pages/login/profile.dart,"Used in `profile.dart` as the label for a button that allows the user to change their profile photo."
profile,,lib/pages/login/profile.dart,"Used in `profile.dart` as the title of the profile page."
verifying,,lib/pages/login/profile.dart,"Used in `profile.dart` as the text for a button while the phone number is being verified."
verify,,lib/pages/login/profile.dart,"Used in `profile.dart` as the text for a button to verify the phone number."
cancel,,lib/pages/login/profile.dart,"Used in `profile.dart` as the text for a button to cancel an action, such as phone number verification."
verify_phone_first,,lib/pages/login/profile.dart,"Used in `profile.dart` as an error message to indicate that the user needs to verify their phone number first."
profile_update_success,,lib/pages/login/profile.dart,"Used in `profile.dart` as a success message after the profile has been updated."
update_profile_error,,lib/pages/login/profile.dart,"Used in `profile.dart` as an error message if updating the profile fails."
save_changes,,lib/pages/login/profile.dart,"Used in `profile.dart` as the text for a button to save changes made to the profile."
logout,,lib/pages/login/profile.dart,"Used in `profile.dart` as the text for a button to log out of the application."
userAdded,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display a message when a user is added."
afternoon,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a greeting for the afternoon."
startingSoon,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to indicate that something is starting soon."
dusk,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a greeting for dusk."
dawn,,lib/localization/demo_localization.dart,"Used in `timeFormatter.dart` as a time period."
penaltyShootout,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to indicate a penalty shootout."
penaltyInProgress,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to indicate that a penalty is in progress."
matchInterrupted,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to indicate that a match is interrupted."
afterExtraTime,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to indicate that a match is after extra time."
notificationPermissionRequired,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to indicate that notification permission is required."
transferWindowDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the transfer window feature in the navigation drawer."
notificationsDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the notifications feature in the navigation drawer."
dailyQuizDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the daily quiz feature in the navigation drawer."
savedNewsDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the saved news feature in the navigation drawer."
testaMarketDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the testa market feature in the navigation drawer."
settingsDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the settings feature in the navigation drawer."
shareAppDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the share app feature in the navigation drawer."
aboutUsDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the about us feature in the navigation drawer."
rateUsDesc,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the description for the rate us feature in the navigation drawer."
contactUsDesc,,lib/pages/navigation/settings_page.dart,"Used in `settings_page.dart` as the description for the contact us feature in the settings page."
enterLiveTvUrl,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for entering a live TV URL."
tvShows,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for TV shows."
timeLeft,,lib/pages/navigation/quiz/quiz_timer.dart,"Used in `quiz_timer.dart` to display the time left in a quiz."
question,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for a question in a quiz."
dailyQuizChallenge,,lib/pages/navigation/quiz/quiz.dart,"Used in `quiz.dart` as the title of the daily quiz page."
trueText,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for the true option in a quiz."
enterYourAnswer,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for entering an answer in a quiz."
seconds,,lib/pages/navigation/quiz/quiz_timer.dart,"Used in `quiz_timer.dart` to display the seconds remaining in a quiz."
daily_quiz_completed,,lib/pages/navigation/quiz/quiz_result.dart,"Used in `quiz_result.dart` as a message displayed when the daily quiz is completed."
falseText,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for the false option in a quiz."
viewLeaderboard,,lib/pages/navigation/quiz/quiz_result.dart,"Used in `quiz_result.dart` as a label for viewing the leaderboard in a quiz."
saved_news,,lib/pages/navigation/navigation_draw.dart,"Used in `navigation_draw.dart` as the title for the saved news feature in the navigation drawer."
TV,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for TV."
freeTrialEndingSoon,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a free trial is ending soon."
predict_the_score,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for predicting the score of a match."
submit_prediction,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for submitting a prediction."
error_loading_predictions,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when there is an error loading predictions."
prediction_stats,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for prediction statistics."
your_prediction,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for the user's prediction."
select_plan_to_continue,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a message displayed when a user needs to select a plan to continue."
read_them_here,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for reading terms and conditions."
terms_conditions_agreement,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for terms and conditions agreement."
popular,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for popular subscription plans."
freeTrialEndingSoonMessage,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a free trial is ending soon."
payment_successful,,lib/pages/payment/payment_choice.dart,"Used in `payment_choice.dart` as a message displayed when payment is successful."
fromCard,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for payment from card."
freeTrialEnded,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a free trial has ended."
freeTrialEndedMessage,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a free trial has ended."
subscriptionExpired,,lib/pages/payment/notification_payment.dart,"Used in `notification_payment.dart` as a message displayed when a subscription has expired."
subscriptionExpiredMessage,,lib/pages/payment/notification_payment.dart,"Used in `notification_payment.dart` as a message displayed when a subscription has expired."
subscriptionEndingSoon,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a subscription is ending soon."
canRequestNewCode,,lib/pages/login/passcode.dart,"Used in `passcode.dart` as a message displayed when a new code can be requested."
subscriptionEndingSoonMessage,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a subscription is ending soon."
subscriptionActive,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a subscription is active."
subscriptionActiveMessage,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a subscription is active."
Subscribe,,lib/pages/payment/notification_payment.dart,"Used in `notification_payment.dart` as a label for subscribing."
chooseYourSubscription,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for choosing a subscription."
subscriptionUpdatedSuccessfully,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a subscription is updated successfully."
subscriptionUpdateFailed,,lib/pages/payment/chapa_payment.dart,"Used in `chapa_payment.dart` as a message displayed when a subscription update fails."
error,,lib/localization/demo_localization.dart,"Used in `demo_localization.dart` as a general error message."
noSubscriptionPlansAvailable,,lib/localization/demo_localization.dart,"Used in `demo_localization.dart` as a message displayed when no subscription plans are available."
selectSubscriptionPlan,,lib/localization/demo_localization.dart,"Used in `demo_localization.dart` as a label for selecting a subscription plan."
selectPaymentMethod,,lib/pages/payment/payment_choice.dart,"Used in `payment_choice.dart` as a label for selecting a payment method."
telebirr,,lib/pages/payment/telebirr.dart,"Used in `telebirr.dart` as a label for the Telebirr payment method."
chapaPayments,,lib/pages/payment/payment_choice.dart,"Used in `payment_choice.dart` as a label for Chapa payments."
creditDebitCard,,lib/pages/payment/payment_choice.dart,"Used in `payment_choice.dart` as a label for credit/debit card payment method."
verifyAndPay,,lib/pages/payment/telebirr.dart,"Used in `telebirr.dart` as a label for verifying and paying."
enterOTP,,lib/pages/payment/telebirr.dart,"Used in `telebirr.dart` as a label for entering OTP."
getOTP,,lib/pages/payment/telebirr.dart,"Used in `telebirr.dart` as a label for getting OTP."
telebirrPayment,,lib/pages/payment/telebirr.dart,"Used in `telebirr.dart` as a label for Telebirr payment."
money,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for money."
continueText,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for continue text."
bestValue,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for best value subscription plan."
year,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for year."
month,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for month."
months,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for months."
dailyPass,,lib/pages/payment/payment_page.dart,"Used in `payment_page.dart` as a label for daily pass."
dismiss,,lib/pages/payment/notification_payment.dart,"Used in `notification_payment.dart` as a label for dismiss."
socialmediatitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for social media section."
loadingPlayers,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed while loading players."
socialmediabody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for social media section."
allownotificationtitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for allow notification prompt."
allownotificationbody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for allow notification prompt."
notificationTitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for notification."
notificationBody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for notification."
your_favourite_player,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for your favourite player."
choose_your_fav_player,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for choosing your favourite player."
searchByName,,lib/pages/bottom_navigation/favourites_page/favourites_page/player/player_search_page.dart,"Used in `player_search_page.dart` as the search field label."
players,,lib/presentation/userPreferencesPage.dart,"Used in `userPreferencesPage.dart` as the label for the players tab."
selected,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for selected."
networkProblem,,lib/pages/login/login.dart,"Used in `login.dart` as an error message when there is a network problem."
tryAgain,,lib/pages/navigation/quiz/quiz.dart,"Used in `quiz.dart` as a label for try again."
favouriteTeam,,lib/presentation/userPreferencesPage.dart,"Used in `userPreferencesPage.dart` as the label for favourite team."
pressTheStar,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for press the star."
teamSelected,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a message displayed when a team is selected."
ethiopia,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Ethiopia."
england,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for England."
spain,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Spain."
italy,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Italy."
germany,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Germany."
france,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for France."
saudi,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Saudi Arabia."
turkey,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Turkey."
southAfrica,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for South Africa."
egypt,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Egypt."
usa,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for USA."
netherland,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Netherlands."
belgium,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Belgium."
portugal,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Portugal."
scotland,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Scotland."
qatar,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for Qatar."
networkproblem,,lib/localization/demo_localization.dart,"Used in `login.dart` as an error message when there is a network problem."
tryagain,,lib/localization/demo_localization.dart,"Used in `quiz.dart` as a label for try again."
welcome,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for welcome."
welcomebody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for welcome message."
soccerWearTitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for soccer wear section."
soccerWearBody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for soccer wear section."
videoHighlightsTitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for video highlights section."
videoHighlightsBody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for video highlights section."
News_intro_Title,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for news intro section."
News_intro_body,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for news intro section."
stayAheadTitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for stay ahead section."
stayAheadBody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for stay ahead section."
leaguesListTitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for leagues list section."
leaguesListBody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for leagues list section."
podcastsTitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for podcasts section."
podcastsBody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for podcasts section."
nextButton,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for next button."
clubstitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for clubs section."
clubsbody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for clubs section."
leaguestitle,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a title for leagues section."
leaguesbody,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a body for leagues section."
settings,,lib/pages/navigation/settings_page.dart,"Used in `settings_page.dart` as the title of the settings page."
Try_testa_App_for_14_days_for_free,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for trying the app for free."
clean_sheet,,lib/localization/demo_localization.dart,"Used in `matches_repository.dart` to construct the round string (e.g., 'Week 17') for displaying match fixtures."
saved,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a label for saved items."
goals_ontarget,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the number of goals on target."
shots,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the number of shots taken."
headed,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the number of headed shots."
clearance,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the number of clearances."
goalkeeper,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the goalkeeper position."
centerBack,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the center back position."
rightBack,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use as a description of the right back position."
