key,english_default,example_usage_files
week,Week,lib/repository/matches_repository.dart;lib/widgets/match_detail/homeandawayTeamScore.dart
groupStage,Group Stage,lib/repository/matches_repository.dart
leg,Leg,lib/repository/matches_repository.dart
qualifying,Qualifying,lib/repository/matches_repository.dart
playOff,Play-off,lib/repository/matches_repository.dart
cleanSheet,,lib/localization/demo_localization.dart
head2head,Head to Head,lib/widgets/match_detail/head_to_head.dart
notification_title,Never miss the action,lib/localization/demo_localization.dart
notification_body,"Live scores, breaking news, match highlights, and new podcasts — right when it happens.",lib/localization/demo_localization.dart
notification_enable,Turn on notifications,lib/localization/demo_localization.dart
notification_not_now,Not now,lib/localization/demo_localization.dart
no_h2h_found,No Head-to-Head matches found,lib/localization/demo_localization.dart
penalty_cancelled,,lib/widgets/match_detail/homeandawayTeamScore.dart
off_the_ball_foul,,lib/widgets/match_detail/homeandawayTeamScore.dart
spitting,,lib/widgets/match_detail/homeandawayTeamScore.dart
biting,,lib/widgets/match_detail/homeandawayTeamScore.dart
elbowing,,lib/widgets/match_detail/homeandawayTeamScore.dart
pleaseWait,Please wait...,lib/localization/demo_localization.dart
abusive_language,,lib/widgets/match_detail/homeandawayTeamScore.dart
retaliation,,lib/widgets/match_detail/homeandawayTeamScore.dart
offside,,lib/widgets/match_detail/homeandawayTeamScore.dart
dangerous_play,,lib/widgets/match_detail/homeandawayTeamScore.dart
obstruction,,lib/widgets/match_detail/homeandawayTeamScore.dart
var_review,,lib/widgets/match_detail/homeandawayTeamScore.dart
unsportsmanlike_conduct,,lib/widgets/match_detail/homeandawayTeamScore.dart
penalty_awarded,,lib/widgets/match_detail/homeandawayTeamScore.dart
goal_disallowed,,lib/widgets/match_detail/homeandawayTeamScore.dart
professional_foul_last_man,,lib/widgets/match_detail/homeandawayTeamScore.dart
holding,,lib/widgets/match_detail/homeandawayTeamScore.dart
failedToScore,,lib/localization/demo_localization.dart
goalkeeperSaves,,lib/widgets/match_detail/details/shots.dart
longestStreak,,lib/localization/demo_localization.dart
winStreak,,lib/localization/demo_localization.dart
drawStreak,,lib/localization/demo_localization.dart
loseStreak,,lib/localization/demo_localization.dart
biggestWin,,lib/localization/demo_localization.dart
biggestLoss,,lib/localization/demo_localization.dart
mostGoalsScoredMatch,,lib/localization/demo_localization.dart
mostGoalsConcededMatch,,lib/localization/demo_localization.dart
penaltiesTaken,,lib/localization/demo_localization.dart
mostUsedFormation,,lib/localization/demo_localization.dart
timesPlayed,,lib/localization/demo_localization.dart
goalsByMinute,,lib/localization/demo_localization.dart
goalsConceded,,lib/localization/demo_localization.dart
avgGoalsConceded,,lib/localization/demo_localization.dart
homepage,,lib/localization/demo_localization.dart
seasonPerformance,,lib/localization/demo_localization.dart
change_photo,,lib/pages/login/profile.dart
profile,,lib/pages/login/profile.dart
verifying,,lib/pages/login/profile.dart
verify,,lib/pages/login/profile.dart
cancel,,lib/pages/login/profile.dart
verify_phone_first,,lib/pages/login/profile.dart
profile_update_success,,lib/pages/login/profile.dart
update_profile_error,,lib/pages/login/profile.dart
save_changes,,lib/pages/login/profile.dart
logout,,lib/pages/login/profile.dart
userAdded,,lib/localization/demo_localization.dart
afternoon,,lib/localization/demo_localization.dart
startingSoon,,lib/localization/demo_localization.dart
dusk,,lib/localization/demo_localization.dart
dawn,,lib/localization/demo_localization.dart
penaltyShootout,,lib/localization/demo_localization.dart
penaltyInProgress,,lib/localization/demo_localization.dart
matchInterrupted,,lib/localization/demo_localization.dart
afterExtraTime,,lib/localization/demo_localization.dart
notificationPermissionRequired,,lib/localization/demo_localization.dart
transferWindowDesc,,lib/pages/navigation/navigation_draw.dart
notificationsDesc,,lib/pages/navigation/navigation_draw.dart
dailyQuizDesc,,lib/pages/navigation/navigation_draw.dart
savedNewsDesc,,lib/pages/navigation/navigation_draw.dart
testaMarketDesc,,lib/pages/navigation/navigation_draw.dart
settingsDesc,,lib/pages/navigation/navigation_draw.dart
shareAppDesc,,lib/pages/navigation/navigation_draw.dart
aboutUsDesc,,lib/pages/navigation/navigation_draw.dart
rateUsDesc,,lib/pages/navigation/navigation_draw.dart
contactUsDesc,,lib/pages/navigation/settings_page.dart
enterLiveTvUrl,,lib/localization/demo_localization.dart
tvShows,,lib/localization/demo_localization.dart
timeLeft,,lib/pages/navigation/quiz/quiz_timer.dart
question,,lib/localization/demo_localization.dart
dailyQuizChallenge,,lib/pages/navigation/quiz/quiz.dart
trueText,,lib/localization/demo_localization.dart
enterYourAnswer,,lib/localization/demo_localization.dart
seconds,,lib/pages/navigation/quiz/quiz_timer.dart
daily_quiz_completed,,lib/pages/navigation/quiz/quiz_result.dart
falseText,,lib/localization/demo_localization.dart
viewLeaderboard,,lib/pages/navigation/quiz/quiz_result.dart
saved_news,,lib/pages/navigation/navigation_draw.dart
TV,,lib/localization/demo_localization.dart
freeTrialEndingSoon,,lib/localization/demo_localization.dart
predict_the_score,,lib/localization/demo_localization.dart
submit_prediction,,lib/localization/demo_localization.dart
error_loading_predictions,,lib/localization/demo_localization.dart
prediction_stats,,lib/localization/demo_localization.dart
your_prediction,,lib/localization/demo_localization.dart
select_plan_to_continue,,lib/pages/payment/payment_page.dart
read_them_here,,lib/pages/payment/payment_page.dart
terms_conditions_agreement,,lib/pages/payment/payment_page.dart
popular,,lib/pages/payment/payment_page.dart
freeTrialEndingSoonMessage,,lib/localization/demo_localization.dart
payment_successful,,lib/pages/payment/payment_choice.dart
fromCard,,lib/pages/payment/payment_page.dart
freeTrialEnded,,lib/localization/demo_localization.dart
freeTrialEndedMessage,,lib/localization/demo_localization.dart
subscriptionExpired,,lib/pages/payment/notification_payment.dart
subscriptionExpiredMessage,,lib/pages/payment/notification_payment.dart
subscriptionEndingSoon,,lib/localization/demo_localization.dart
canRequestNewCode,,lib/pages/login/passcode.dart
subscriptionEndingSoonMessage,,lib/localization/demo_localization.dart
subscriptionActive,,lib/localization/demo_localization.dart
subscriptionActiveMessage,,lib/localization/demo_localization.dart
Subscribe,,lib/pages/payment/notification_payment.dart
chooseYourSubscription,,lib/localization/demo_localization.dart
subscriptionUpdatedSuccessfully,,lib/localization/demo_localization.dart
subscriptionUpdateFailed,,lib/pages/payment/chapa_payment.dart
error,,lib/localization/demo_localization.dart
noSubscriptionPlansAvailable,,lib/localization/demo_localization.dart
selectSubscriptionPlan,,lib/localization/demo_localization.dart
selectPaymentMethod,,lib/pages/payment/payment_choice.dart
telebirr,,lib/pages/payment/telebirr.dart
chapaPayments,,lib/pages/payment/payment_choice.dart
creditDebitCard,,lib/pages/payment/payment_choice.dart
verifyAndPay,,lib/pages/payment/telebirr.dart
enterOTP,,lib/pages/payment/telebirr.dart
getOTP,,lib/pages/payment/telebirr.dart
telebirrPayment,,lib/pages/payment/telebirr.dart
money,,lib/pages/payment/payment_page.dart
continueText,,lib/pages/payment/payment_page.dart
bestValue,,lib/localization/demo_localization.dart
year,,lib/localization/demo_localization.dart
month,,lib/pages/payment/payment_page.dart
months,,lib/pages/payment/payment_page.dart
dailyPass,,lib/pages/payment/payment_page.dart
dismiss,,lib/pages/payment/notification_payment.dart
socialmediatitle,,lib/localization/demo_localization.dart
loadingPlayers,,lib/localization/demo_localization.dart
socialmediabody,,lib/localization/demo_localization.dart
allownotificationtitle,,lib/localization/demo_localization.dart
allownotificationbody,,lib/localization/demo_localization.dart
notificationTitle,,lib/localization/demo_localization.dart
notificationBody,,lib/localization/demo_localization.dart
your_favourite_player,,lib/localization/demo_localization.dart
choose_your_fav_player,,lib/localization/demo_localization.dart
searchByName,,lib/pages/bottom_navigation/favourites_page/favourites_page/player/player_search_page.dart
players,,lib/presentation/userPreferencesPage.dart
selected,,lib/localization/demo_localization.dart
networkProblem,,lib/pages/login/login.dart
tryAgain,,lib/pages/navigation/quiz/quiz.dart
favouriteTeam,,lib/presentation/userPreferencesPage.dart
pressTheStar,,lib/localization/demo_localization.dart
teamSelected,,lib/localization/demo_localization.dart
ethiopia,,lib/localization/demo_localization.dart
england,,lib/localization/demo_localization.dart
spain,,lib/localization/demo_localization.dart
italy,,lib/localization/demo_localization.dart
germany,,lib/localization/demo_localization.dart
france,,lib/localization/demo_localization.dart
saudi,,lib/localization/demo_localization.dart
turkey,,lib/localization/demo_localization.dart
southAfrica,,lib/localization/demo_localization.dart
egypt,,lib/localization/demo_localization.dart
usa,,lib/localization/demo_localization.dart
netherland,,lib/localization/demo_localization.dart
belgium,,lib/localization/demo_localization.dart
portugal,,lib/localization/demo_localization.dart
scotland,,lib/localization/demo_localization.dart
qatar,,lib/localization/demo_localization.dart
networkproblem,,lib/localization/demo_localization.dart
tryagain,,lib/localization/demo_localization.dart
welcome,,lib/localization/demo_localization.dart
welcomebody,,lib/localization/demo_localization.dart
soccerWearTitle,,lib/localization/demo_localization.dart
soccerWearBody,,lib/localization/demo_localization.dart
videoHighlightsTitle,,lib/localization/demo_localization.dart
videoHighlightsBody,,lib/localization/demo_localization.dart
News_intro_Title,,lib/localization/demo_localization.dart
News_intro_body,,lib/localization/demo_localization.dart
stayAheadTitle,,lib/localization/demo_localization.dart
stayAheadBody,,lib/localization/demo_localization.dart
leaguesListTitle,,lib/localization/demo_localization.dart
leaguesListBody,,lib/localization/demo_localization.dart
podcastsTitle,,lib/localization/demo_localization.dart
podcastsBody,,lib/localization/demo_localization.dart
nextButton,,lib/localization/demo_localization.dart
clubstitle,,lib/localization/demo_localization.dart
clubsbody,,lib/localization/demo_localization.dart
leaguestitle,,lib/localization/demo_localization.dart
leaguesbody,,lib/localization/demo_localization.dart
settings,,lib/pages/navigation/settings_page.dart
Try_testa_App_for_14_days_for_free,,lib/localization/demo_localization.dart
clean_sheet,,lib/localization/demo_localization.dart
saved,,lib/localization/demo_localization.dart
goals_ontarget,,lib/localization/demo_localization.dart
shots,,lib/localization/demo_localization.dart
headed,,lib/localization/demo_localization.dart
clearance,,lib/localization/demo_localization.dart
goalkeeper,,lib/localization/demo_localization.dart
centerBack,,lib/localization/demo_localization.dart
rightBack,,lib/localization/demo_localization.dart
